pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
7.45,15.6,0.7,7.56,50,FALSE
7.83,2.41,0.77,7.58,0,TRUE
8.09,2.57,0.58,7.29,50,TRUE
7.16,1.19,0.53,7.83,25,TRUE
7.59,4.29,0.58,7.98,25,TRUE
8.08,2.92,0.68,6.72,25,TRUE
7.36,2.58,0.73,7.95,25,TRUE
7.73,1.56,0.91,6.51,25,TRUE
8.54,4.0,0.69,7.48,50,TRUE
7.29,3.08,0.81,6.74,25,TRUE
8.49,3.48,0.74,7.97,0,TRUE
6.73,3.4,0.74,7.77,0,TRUE
6.15,2.19,0.81,7.28,25,TRUE
6.91,2.01,0.52,19.0,0,FALSE
7.4,3.02,0.84,6.7,0,TRUE
8.53,2.87,0.94,7.96,50,TRUE
7.79,4.7,0.57,6.74,25,TRUE
7.15,4.35,0.92,7.35,0,TRUE
7.69,3.31,0.54,7.37,25,TRUE
8.06,1.08,0.88,6.9,25,TRUE
6.56,4.77,0.79,7.8,0,TRUE
7.77,3.22,0.82,7.5,0,TRUE
8.68,3.4,0.86,6.75,50,TRUE
8.04,3.54,0.98,6.58,0,TRUE
7.57,2.13,0.66,7.29,50,TRUE
7.94,2.54,0.54,7.28,50,TRUE
7.37,4.94,14.23,6.86,50,FALSE
7.27,3.39,0.89,6.71,0,TRUE
8.73,1.77,0.76,6.97,50,TRUE
7.4,4.15,0.53,6.69,0,TRUE
8.37,2.81,0.98,6.95,50,TRUE
7.7,3.12,0.95,7.83,0,TRUE
6.69,2.9,0.9,7.48,25,TRUE
7.16,2.13,0.77,6.98,0,TRUE
6.56,2.7,0.99,7.38,25,TRUE
7.52,1.92,0.62,6.61,0,TRUE
7.99,1.08,0.62,6.65,0,TRUE
8.04,2.84,0.59,7.8,0,TRUE
7.68,1.03,0.82,7.48,0,TRUE
9.78,1.79,0.64,7.41,50,FALSE
8.29,2.42,0.92,6.58,50,TRUE
7.71,4.5,0.99,6.63,25,TRUE
7.12,4.72,0.76,6.84,25,TRUE
6.97,4.79,0.65,7.95,50,TRUE
6.34,3.53,0.53,7.84,25,TRUE
6.97,4.5,0.94,7.53,0,TRUE
6.84,3.12,0.82,7.73,0,TRUE
8.21,2.26,0.97,7.84,50,TRUE
7.34,4.15,0.86,7.53,0,TRUE
8.47,1.62,0.59,7.41,50,TRUE
